"x","y"
"聚会/Na/ZBN_CMN_20030816_wpr/54352",-0.102317053381316,0.0241653281304116
"集会/Na/ZBN_CMN_20010115_wpr/18486",0.00431597649851304,-0.025527575547395
"聚会/Na/CNA_CMN_20030728_wpr/1973",-0.050307539278805,0.026204019784126
"集会/Na/XIN_CMN_20030914_wpr/8453",-0.020722178030194,-0.0348535731788179
"集会/Na/CNA_CMN_20001024_wpr/73660",0.0472028039589137,0.0195493081293863
"聚会/Na/XIN_CMN_20030423_wpr/94054",-0.00792811903845759,-0.0375575902094956
"聚会/Na/XIN_CMN_20030727_wpr/26950",-0.0603973497826903,-0.042731187740198
"聚会/Na/ZBN_CMN_20030508_wpr/25879",-0.116416091500781,0.0156770216480026
"集会/Na/CNA_CMN_20001009_wpr/92465",0.0690622543729087,0.00754597219021717
"聚会/Na/ZBN_CMN_20030421_wpr/55403",-0.0424595331791972,0.0367145540392343
"聚会/Na/CNA_CMN_20001110_wpr/135503",-0.0425780305928525,0.0684954946469338
"集会/Na/XIN_CMN_20030413_wpr/44194",0.0194310461335058,-0.00962796654651031
"集会/Na/ZBN_CMN_20001115_wpr/14227",0.0302000186524957,0.0295947924286157
"聚会/Na/XIN_CMN_20030420_wpr/26121",-0.10035756277394,-0.0404246291011281
"集会/Na/CNA_CMN_20001217_wpr/7464",0.236481664047282,-0.0793004808754294
"聚会/Na/XIN_CMN_20030410_wpr/7400",-0.0262510448345852,-0.0244665675174417
"聚会/Na/ZBN_CMN_20030415_wpr/67351",-0.0487377768997773,-0.0154319994903637
"聚会/Na/XIN_CMN_20010102_wpr/27464",-0.140448802892814,0.0377553897374164
"集会/Na/ZBN_CMN_20010130_wpr/36486",0.100222764403542,-0.0207878194182466
"聚会/Na/XIN_CMN_20030820_wpr/16085",-0.265930653754941,0.163461832950667
"集会/Na/ZBN_CMN_20001023_wpr/3506",0.0368698945509997,0.00544396091116027
"集会/Na/ZBN_CMN_20001009_wpr/31314",-0.00805058639506114,0.033455825617252
"集会/Na/ZBN_CMN_20001115_wpr/14265",0.0173922538711908,0.00222428667701643
"集会/Na/CNA_CMN_20001023_wpr/147566",0.0380483231528357,0.0519496245519084
"聚会/Na/ZBN_CMN_20030708_wpr/63468",-0.1226403457573,-0.0507358135169329
"集会/Na/XIN_CMN_20001221_wpr/71864",-0.00724839810514119,-0.0566081194307346
"集会/Na/XIN_CMN_20030511_wpr/51995",0.00166697836905625,-0.105804638923269
"集会/Na/CNA_CMN_20010105_wpr/8106",0.0347075970279133,-0.00212348981505581
"集会/Na/CNA_CMN_20001221_wpr/139759",0.0423892819986069,0.0320106154371603
"集会/Na/CNA_CMN_20001223_wpr/65578",0.127998404884058,-0.0667906482477955
"集会/Na/ZBN_CMN_20001225_wpr/10791",0.0237040613000291,-0.0493915282057986
"聚会/Na/XIN_CMN_20030930_wpr/29397",-0.0282451016823575,-0.064082981350815
"集会/Na/XIN_CMN_20001019_wpr/55345",-0.0139262801167683,-0.100778866619183
"集会/Na/CNA_CMN_20001107_wpr/163325",0.0292758360877781,-0.00292806766633676
