"","clusterID","生命shēnɡ_mìnɡ","生活shēnɡ_ɡuō","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,139,137,83,94,99,0.6931,1.0959,276
"2",2,21,203,30,154,40,0.3111,0.8345,224
