"","clusterID","权益quán_yì","利润lì_rùn","股份ɡǔ_bīn","TW","SG","ML","variant_entropy","lect_entropy","TotalFreq"
"1",1,10,0,0,9,1,0,0,0.3251,10
"2",2,126,2,1,94,5,30,0.1253,0.6958,129
"3",3,22,0,0,8,1,13,0,0.8192,22
"4",4,50,0,0,5,2,43,0,0.4887,50
"5",5,0,0,47,10,3,34,0,0.7391,47
"6",6,0,68,2,6,7,57,0.1297,0.6081,70
"7",7,3,7,61,25,23,23,0.4925,1.0978,71
"8",8,13,53,35,24,32,45,0.9695,1.0658,101
