"","clusterID","保险bǎo_xiǎn","保障bǎo_zhānɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,83,2,8,50,27,0.1115,0.8988,85
"2",2,36,1,10,20,7,0.1243,1.0011,37
"3",3,65,0,10,33,22,0,0.9988,65
"4",4,44,10,0,54,0,0.4792,0,54
"5",5,10,82,10,71,11,0.3438,0.6951,92
"6",6,0,13,10,2,1,0,0.6871,13
"7",7,0,21,4,12,5,0,0.9773,21
"8",8,41,92,50,54,29,0.6177,1.0659,133
