"","clusterID","基金jī_jīn","经费jīnɡ_fèi","资金zī_jīn","库存kù_cún","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,30,0,0,0,8,12,10,1,0.3422,30
"2",2,23,0,0,0,21,0,2,1,0.8412,23
"3",3,66,69,24,0,83,39,37,0.3834,0.3868,159
"4",4,2,24,54,0,20,46,14,0.5462,0.4238,80
"5",5,84,10,108,6,72,87,49,0.4358,0.3503,208
