"","clusterID","原料yuán_liáo","成份chénɡ_bīn","成分chénɡ_bàn","材料cái_liáo","物料wù_liáo","原材料yuán_cái_liáo","用料yòng_liáo","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,5,13,55,5,0,0,0,22,29,27,0.8972,1.0921,78
"2",2,0,0,1,40,1,0,0,1,35,6,0.2245,0.5189,42
"3",3,6,19,20,35,0,1,6,20,33,34,1.4567,1.0729,87
"4",4,0,0,1,34,0,0,0,5,18,12,0.1297,0.987,35
"5",5,0,0,0,19,0,0,0,7,11,1,0,0.8393,19
"6",6,51,3,0,19,4,22,1,29,63,8,1.2721,0.8521,100
"7",7,31,4,13,85,1,1,4,22,73,44,1.1322,0.9941,139
