"","clusterID","建物jiàn_wù","建筑jiàn_zhú","建筑物jiàn_zhú_wù","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,93,9,17,50,36,0.823,0.3851,103
"2",2,0,38,2,4,16,20,0.905,0.42,40
"3",3,0,35,0,2,19,14,1,0.458,35
"4",4,1,39,18,15,25,18,0.5488,0.349,58
"5",5,13,188,63,82,95,87,0.5665,0.3346,264
