"","clusterID","研讨会xíng_tǎo_huì","论坛lún_tán","座谈zuò_tán","座谈会zuò_tán_huì","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,3,46,0,0,8,26,15,0.885047896709704,0.401915868388172,49
"2",2,13,9,1,20,13,26,4,0.352082206598161,0.465657111952407,43
"3",3,51,44,21,52,81,61,26,0.27217970521542,0.388251133786848,168
"4",4,40,27,13,25,70,21,14,0.283265306122449,0.502222222222222,105
"5",5,28,46,0,9,12,49,22,0.432718827115692,0.439686456670054,83
"6",6,24,0,0,0,14,9,1,1,0.482638888888889,24
"7",7,19,3,1,5,20,6,2,0.505102040816327,0.561224489795918,28
