"","clusterID","大楼dà_lóu","大厦dà_shà","高楼ɡāo_lóu","ML","SG","TW","variant_entropy","lect_entropy","TotalFreq"
"1",1,32,0,0,21,11,0,0,0.6435,32
"2",2,41,0,0,0,0,41,0,0,41
"3",3,1,29,0,7,18,5,0.1461,0.9447,30
"4",4,17,13,2,2,16,14,0.8753,0.8815,32
"5",5,49,29,2,19,28,33,0.7603,1.0741,80
"6",6,1,18,0,3,5,11,0.2062,0.9592,19
"7",7,107,132,27,68,127,71,0.9462,1.0542,266
