"","clusterID","范围fàn_wéi","领域lǐnɡ_yù","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,55,0,12,33,10,0,0.9486,55
"2",2,0,91,8,74,9,0,0.6107,91
"3",3,21,0,1,15,5,0,0.727,21
"4",4,63,12,28,23,24,0.4397,1.0949,75
"5",5,20,1,4,11,6,0.1914,1.0125,21
"6",6,11,16,9,12,6,0.6759,1.0609,27
"7",7,6,3,0,6,3,0.6365,0.6365,9
"8",8,34,167,34,111,56,0.4545,0.9845,201
