"","clusterID","争端zhēnɡ_duān","冲突chōnɡ_tū","争执zhēnɡ_zhí","纠纷jiū_fēn","风波fēnɡ_bēi","矛盾máo_dùn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,143,0,0,0,0,33,95,16,0.986207561728395,0.500096450617284,144
"2",2,0,34,7,4,4,0,12,16,21,0.515201999167014,0.350270720533111,49
"3",3,15,8,0,4,0,3,6,19,5,0.348888888888889,0.468888888888889,30
"4",4,3,8,3,8,24,4,28,4,18,0.2952,0.4496,50
"5",5,0,4,1,25,0,4,9,17,8,0.569204152249135,0.375432525951557,34
"6",6,1,4,3,6,3,0,9,2,6,0.245674740484429,0.418685121107266,17
"7",7,15,64,12,20,23,42,49,73,54,0.231082128099174,0.343685433884298,176
