"","clusterID","专题zhuān_tí","主题zhǔ_tí","学科xué_kē","领域lǐnɡ_yù","题目tí_mù","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,38,113,7,9,14,59,56,66,0.4438,0.3349,181
"2",2,0,0,0,72,0,6,59,7,1,0.6879,72
"3",3,4,4,34,204,1,45,153,49,0.7016,0.4562,247
