"","clusterID","时代shí_dài","时期shí_jī","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,22,0,4,3,15,1,0.5165,22
"2",2,102,99,53,85,63,0.5001,0.3466,201
"3",3,0,18,0,17,1,1,0.8951,18
"4",4,23,32,12,35,8,0.5134,0.4737,55
"5",5,113,91,59,63,82,0.5058,0.3406,204
