"","clusterID","船只chuán_zhī","船舶chuán_bó","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,114,0,114,0,0,0,0,114
"2",2,41,21,21,30,11,0.6402,1.0248,62
"3",3,170,154,94,180,50,0.6919,0.9739,324
