"","clusterID","教师jiāo_shī","教授jiāo_shòu","老师lǎo_shī","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,4,111,3,46,37,35,0.2656,1.0914,118
"2",2,0,8,0,0,0,8,0,0,8
"3",3,28,81,38,41,36,70,0.994,1.054,147
"4",4,2,0,59,12,7,42,0.1443,0.8253,61
"5",5,29,3,0,10,11,11,0.3111,1.0976,32
"6",6,91,4,39,35,31,68,0.7269,1.0335,134
