"","clusterID","典范diǎn_fàn","榜样bǎnɡ_yánɡ","标兵biāo_bīnɡ","楷模jiē_mó","模范mó_fàn","表率biǎo_lǜ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,22,19,0,0,0,0,14,19,8,0.6905,1.0422,41
"2",2,49,21,2,15,36,24,37,87,23,1.576,0.9479,147
"3",3,7,0,0,1,1,1,0,8,2,0.9404,0.5004,10
"4",4,39,63,4,20,41,6,49,53,71,1.498,1.0852,173
"5",5,0,1,0,43,14,0,54,2,2,0.635,0.2988,58
"6",6,1,0,4,1,65,0,4,53,14,0.363,0.7005,71
