"","clusterID","船只chuán_zhī","船舶chuán_bó","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,114,0,114,0,0,1,1,114
"2",2,41,21,21,30,11,0.552,0.3803,62
"3",3,170,154,94,180,50,0.5012,0.4166,324
