"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"exp_10"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"pbin_10"	"SumAbsDev"	"LargestDev"
"－"	0	0	1	0	0	0	0	0	0	0	0.058	0.025	0.244	0.015	0.068	0.027	0.21	0.079	0.018	0.256	-0.026	-0.011	0.613	-0.006	-0.031	-0.012	-0.102	-0.036	-0.008	-0.129	0.974	"3"
"－MGM"	0	0	0	0	0	0	0	0	0	1	0.058	0.025	0.244	0.015	0.068	0.027	0.21	0.079	0.018	0.256	-0.026	-0.011	-0.121	-0.006	-0.031	-0.012	-0.102	-0.036	-0.008	0.591	0.944	"10"
"﹑"	0	0	0	0	0	0	1	0	0	0	0.058	0.025	0.244	0.015	0.068	0.027	0.21	0.079	0.018	0.256	-0.026	-0.011	-0.121	-0.006	-0.031	-0.012	0.678	-0.036	-0.008	-0.129	1.058	"7"
"○"	0	0	0	0	0	1	0	0	0	0	0.058	0.025	0.244	0.015	0.068	0.027	0.21	0.079	0.018	0.256	-0.026	-0.011	-0.121	-0.006	-0.031	1.565	-0.102	-0.036	-0.008	-0.129	2.035	"6"
"0.25"	0	0	1	0	0	0	0	0	0	0	0.058	0.025	0.244	0.015	0.068	0.027	0.21	0.079	0.018	0.256	-0.026	-0.011	0.613	-0.006	-0.031	-0.012	-0.102	-0.036	-0.008	-0.129	0.974	"3"
"0.5"	0	0	1	0	0	0	0	0	0	0	0.058	0.025	0.244	0.015	0.068	0.027	0.21	0.079	0.018	0.256	-0.026	-0.011	0.613	-0.006	-0.031	-0.012	-0.102	-0.036	-0.008	-0.129	0.974	"3"
"1.2"	0	0	0	0	0	0	1	0	0	0	0.058	0.025	0.244	0.015	0.068	0.027	0.21	0.079	0.018	0.256	-0.026	-0.011	-0.121	-0.006	-0.031	-0.012	0.678	-0.036	-0.008	-0.129	1.058	"7"
"1.25"	0	0	1	0	0	0	0	0	0	0	0.058	0.025	0.244	0.015	0.068	0.027	0.21	0.079	0.018	0.256	-0.026	-0.011	0.613	-0.006	-0.031	-0.012	-0.102	-0.036	-0.008	-0.129	0.974	"3"
"1.72"	0	0	0	0	0	0	1	0	0	0	0.058	0.025	0.244	0.015	0.068	0.027	0.21	0.079	0.018	0.256	-0.026	-0.011	-0.121	-0.006	-0.031	-0.012	0.678	-0.036	-0.008	-0.129	1.058	"7"
"1.75"	0	0	1	0	0	0	0	0	0	0	0.058	0.025	0.244	0.015	0.068	0.027	0.21	0.079	0.018	0.256	-0.026	-0.011	0.613	-0.006	-0.031	-0.012	-0.102	-0.036	-0.008	-0.129	0.974	"3"
