"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"--"	2	1	0	0	0	0.877	1.008	0.136	0.293	0.686	0.686	-0.133	-0.061	-0.134	-0.338	1.352	"1"
"!"	1	0	0	0	0	0.292	0.336	0.045	0.098	0.229	0.534	-0.178	-0.02	-0.045	-0.113	0.89	"1"
"."	5	12	4	0	2	6.721	7.731	1.045	2.243	5.26	-0.528	1.292	1.724	-1.025	-1.116	5.685	"3"
"〈"	2	0	0	0	0	0.584	0.672	0.091	0.195	0.457	1.069	-0.356	-0.04	-0.089	-0.226	1.78	"1"
"〉"	2	0	0	0	0	0.584	0.672	0.091	0.195	0.457	1.069	-0.356	-0.04	-0.089	-0.226	1.78	"1"
"《"	50	3	0	0	0	15.487	17.816	2.408	5.168	12.122	22.786	-5.896	-1.07	-2.361	-5.977	38.09	"1"
"》"	34	2	0	0	0	10.519	12.101	1.636	3.51	8.234	15.657	-4.148	-0.727	-1.604	-4.06	26.196	"1"
"═"	3	0	0	0	0	0.877	1.008	0.136	0.293	0.686	1.603	-0.534	-0.061	-0.134	-0.338	2.67	"1"
"1.25"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"1%"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"12日"	11	0	0	0	0	3.214	3.698	0.5	1.073	2.516	5.877	-1.957	-0.222	-0.49	-1.241	9.787	"1"
"14日"	0	2	0	0	0	0.584	0.672	0.091	0.195	0.457	-0.3	0.947	-0.04	-0.089	-0.226	1.602	"2"
"1824年"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"1946年"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"1949年"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"1990年"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"1991年"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"1992年"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"20.5"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"2000年"	1	0	0	0	0	0.292	0.336	0.045	0.098	0.229	0.534	-0.178	-0.02	-0.045	-0.113	0.89	"1"
"2003年"	4	0	0	0	0	1.169	1.345	0.182	0.39	0.915	2.137	-0.712	-0.081	-0.178	-0.451	3.559	"1"
"20亿"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"23日"	1	1	0	0	0	0.584	0.672	0.091	0.195	0.457	0.302	0.252	-0.04	-0.089	-0.226	0.909	"1"
"2500"	0	2	0	0	0	0.584	0.672	0.091	0.195	0.457	-0.3	0.947	-0.04	-0.089	-0.226	1.602	"2"
"28日"	1	0	0	0	0	0.292	0.336	0.045	0.098	0.229	0.534	-0.178	-0.02	-0.045	-0.113	0.89	"1"
"29日"	1	0	0	0	0	0.292	0.336	0.045	0.098	0.229	0.534	-0.178	-0.02	-0.045	-0.113	0.89	"1"
"3％"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"309100万"	1	0	0	0	0	0.292	0.336	0.045	0.098	0.229	0.534	-0.178	-0.02	-0.045	-0.113	0.89	"1"
"30周年"	1	0	0	0	0	0.292	0.336	0.045	0.098	0.229	0.534	-0.178	-0.02	-0.045	-0.113	0.89	"1"
"3300"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"54周年"	2	0	0	0	0	0.584	0.672	0.091	0.195	0.457	1.069	-0.356	-0.04	-0.089	-0.226	1.78	"1"
"5日"	2	1	0	0	0	0.877	1.008	0.136	0.293	0.686	0.686	-0.133	-0.061	-0.134	-0.338	1.352	"1"
"6.5"	0	0	0	0	2	0.584	0.672	0.091	0.195	0.457	-0.3	-0.356	-0.04	-0.089	1.281	2.066	"5"
"730"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"891104"	0	0	0	1	0	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	1.011	-0.113	1.472	"4"
"891125"	0	0	0	1	0	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	1.011	-0.113	1.472	"4"
"891202"	0	0	0	1	0	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	1.011	-0.113	1.472	"4"
"891210"	0	0	0	1	0	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	1.011	-0.113	1.472	"4"
"891223"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"8日电"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"arilyn"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"Crowley"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"epublic"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"Fed"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"FED"	0	0	0	0	4	1.169	1.345	0.182	0.39	0.915	-0.6	-0.712	-0.081	-0.178	2.563	4.134	"5"
"FederalExpress"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"FedEx"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"FEMA"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"H.E.Eunice"	1	0	0	0	0	0.292	0.336	0.045	0.098	0.229	0.534	-0.178	-0.02	-0.045	-0.113	0.89	"1"
"Joseph"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"N.Musrave"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"NTSB"	0	1	0	0	1	0.584	0.672	0.091	0.195	0.457	-0.3	0.252	-0.04	-0.089	0.392	1.073	"5"
"ofCongo"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"Sandra"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"一中"	1	0	0	0	0	0.292	0.336	0.045	0.098	0.229	0.534	-0.178	-0.02	-0.045	-0.113	0.89	"1"
"一九七一年"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"一九九九年"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"一九九二年"	0	2	0	0	0	0.584	0.672	0.091	0.195	0.457	-0.3	0.947	-0.04	-0.089	-0.226	1.602	"2"
"一九九六年"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"一九四九年"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"三十一"	0	0	0	0	2	0.584	0.672	0.091	0.195	0.457	-0.3	-0.356	-0.04	-0.089	1.281	2.066	"5"
"三四"	0	0	0	1	0	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	1.011	-0.113	1.472	"4"
"上诉"	0	0	0	7	0	2.045	2.353	0.318	0.683	1.601	-1.051	-1.245	-0.141	7.077	-0.789	10.303	"4"
"上诉案"	0	0	0	1	0	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	1.011	-0.113	1.472	"4"
"下令"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"下滑"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"下身"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"不利"	0	0	1	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	1.343	-0.045	-0.113	1.829	"3"
"不变"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"专人"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"专电"	0	1	0	0	5	1.753	2.017	0.273	0.585	1.372	-0.901	-0.461	-0.121	-0.267	2.517	4.267	"5"
"东岸"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"东盟"	1	0	0	0	0	0.292	0.336	0.045	0.098	0.229	0.534	-0.178	-0.02	-0.045	-0.113	0.89	"1"
"严辞"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"中华"	110	0	0	0	0	32.143	36.976	4.998	10.725	25.158	58.774	-19.572	-2.222	-4.901	-12.406	97.875	"1"
"中华人"	1	9	0	0	0	2.922	3.361	0.454	0.975	2.287	-0.791	3.418	-0.202	-0.446	-1.128	5.985	"2"
"中华民国"	4	5	0	0	0	2.63	3.025	0.409	0.878	2.058	0.597	0.826	-0.182	-0.401	-1.015	3.021	"5"
"中外"	1	0	0	0	0	0.292	0.336	0.045	0.098	0.229	0.534	-0.178	-0.02	-0.045	-0.113	0.89	"1"
"中央政府"	1	0	0	0	0	0.292	0.336	0.045	0.098	0.229	0.534	-0.178	-0.02	-0.045	-0.113	0.89	"1"
"中非"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"丰克"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"临时"	1	1	0	0	0	0.584	0.672	0.091	0.195	0.457	0.302	0.252	-0.04	-0.089	-0.226	0.909	"1"
"为"	5	1	0	0	0	1.753	2.017	0.273	0.585	1.372	2.015	-0.461	-0.121	-0.267	-0.677	3.541	"1"
"主"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"主义"	5	0	0	0	0	1.461	1.681	0.227	0.488	1.144	2.672	-0.89	-0.101	-0.223	-0.564	4.45	"1"
"主宰"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"主席"	10	6	0	0	8	7.013	8.067	1.091	2.34	5.489	0.876	-0.595	-0.485	-1.069	0.788	3.813	"4"
"主席史"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"主张"	0	1	0	1	0	0.584	0.672	0.091	0.195	0.457	-0.3	0.252	-0.04	0.732	-0.226	1.55	"4"
"主权"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"举"	0	0	0	0	1	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	-0.045	0.641	1.034	"5"
"举人"	0	0	0	1	0	0.292	0.336	0.045	0.098	0.229	-0.15	-0.178	-0.02	1.011	-0.113	1.472	"4"
"乃是"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"久卡"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
"乌克兰"	0	2	0	0	0	0.584	0.672	0.091	0.195	0.457	-0.3	0.947	-0.04	-0.089	-0.226	1.602	"2"
"乌兰乌"	0	1	0	0	0	0.292	0.336	0.045	0.098	0.229	-0.15	0.473	-0.02	-0.045	-0.113	0.801	"2"
