"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"赔款"	0	1	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	0.658	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.039	"2"
"走缓"	0	0	1	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	0.811	-0.158	-0.008	-0.024	-0.007	-0.015	1.227	"3"
"越来越"	0	0	2	0	0	0	1	0	0.595	0.659	0.464	0.914	0.058	0.159	0.046	0.104	-0.288	-0.323	1.192	-0.474	-0.025	-0.071	1.34	-0.046	3.759	"7"
"足够"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"跨越"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"路子"	1	0	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	0.703	-0.108	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.096	"1"
"车主"	0	1	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	0.658	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.039	"2"
"转变"	0	0	0	2	0	0	0	0	0.396	0.44	0.309	0.61	0.039	0.106	0.031	0.07	-0.192	-0.216	-0.146	1.032	-0.017	-0.047	-0.014	-0.031	1.695	"4"
"转弱"	0	0	1	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	0.811	-0.158	-0.008	-0.024	-0.007	-0.015	1.227	"3"
"转强"	0	0	1	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	0.811	-0.158	-0.008	-0.024	-0.007	-0.015	1.227	"3"
"转账"	0	0	1	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	0.811	-0.158	-0.008	-0.024	-0.007	-0.015	1.227	"3"
"轮调"	0	0	0	0	0	0	0	1	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	-0.158	-0.008	-0.024	-0.007	1.459	1.933	"8"
"较"	0	0	1	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	0.811	-0.158	-0.008	-0.024	-0.007	-0.015	1.227	"3"
"较为"	0	0	1	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	0.811	-0.158	-0.008	-0.024	-0.007	-0.015	1.227	"3"
"输"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"辖区"	1	0	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	0.703	-0.108	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.096	"1"
"辞职"	2	4	0	0	0	1	0	0	1.388	1.538	1.082	2.134	0.135	0.371	0.108	0.244	0.378	1.337	-0.511	-1.105	-0.059	0.499	-0.047	-0.108	4.044	"2"
"达到"	2	0	0	4	0	0	0	0	1.189	1.319	0.928	1.829	0.116	0.318	0.093	0.209	0.468	-0.647	-0.438	1.129	-0.051	-0.142	-0.041	-0.092	3.008	"4"
"达悟族"	0	0	0	0	0	0	0	1	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	-0.158	-0.008	-0.024	-0.007	1.459	1.933	"8"
"达标"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"迅速"	0	0	1	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	0.811	-0.158	-0.008	-0.024	-0.007	-0.015	1.227	"3"
"过程"	0	0	0	3	0	0	0	0	0.595	0.659	0.464	0.914	0.058	0.159	0.046	0.104	-0.288	-0.323	-0.219	1.548	-0.025	-0.071	-0.02	-0.046	2.54	"4"
"运抵"	1	0	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	0.703	-0.108	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.096	"1"
"运达"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"还"	0	1	0	4	0	0	0	0	0.991	1.099	0.773	1.524	0.097	0.265	0.077	0.174	-0.48	-0.157	-0.365	1.486	-0.042	-0.118	-0.034	-0.077	2.759	"4"
"还政于民"	0	0	0	0	0	0	0	1	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	-0.158	-0.008	-0.024	-0.007	1.459	1.933	"8"
"还是"	0	0	0	2	0	0	0	0	0.396	0.44	0.309	0.61	0.039	0.106	0.031	0.07	-0.192	-0.216	-0.146	1.032	-0.017	-0.047	-0.014	-0.031	1.695	"4"
"这样"	0	1	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	0.658	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.039	"2"
"进一步"	0	0	0	2	0	1	0	0	0.595	0.659	0.464	0.914	0.058	0.159	0.046	0.104	-0.288	-0.323	-0.219	0.653	-0.025	0.822	-0.02	-0.046	2.396	"6"
"进口"	0	0	3	0	0	0	0	0	0.595	0.659	0.464	0.914	0.058	0.159	0.046	0.104	-0.288	-0.323	2.432	-0.474	-0.025	-0.071	-0.02	-0.046	3.679	"3"
"进口国"	0	0	1	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	0.811	-0.158	-0.008	-0.024	-0.007	-0.015	1.227	"3"
"进行"	1	0	0	0	0	1	0	0	0.396	0.44	0.309	0.61	0.039	0.106	0.031	0.07	0.447	-0.216	-0.146	-0.316	-0.017	0.986	-0.014	-0.031	2.173	"6"
"远"	0	0	1	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	0.811	-0.158	-0.008	-0.024	-0.007	-0.015	1.227	"3"
"远足"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"迪森"	0	0	0	0	0	0	0	1	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	-0.158	-0.008	-0.024	-0.007	1.459	1.933	"8"
"迫切"	0	0	0	0	0	0	9	0	1.784	1.978	1.391	2.743	0.174	0.477	0.139	0.313	-0.864	-0.97	-0.656	-1.421	-0.076	-0.213	16.297	-0.138	20.635	"7"
"适"	0	0	0	0	0	0	0	1	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	-0.158	-0.008	-0.024	-0.007	1.459	1.933	"8"
"适合"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"适应"	0	0	0	9	0	0	1	0	1.982	2.198	1.546	3.048	0.193	0.53	0.155	0.348	-0.96	-1.078	-0.729	3.783	-0.085	-0.237	0.841	-0.154	7.867	"4"
"适当"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"选务"	0	1	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	0.658	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.039	"2"
"选民"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"选票"	0	2	0	0	0	0	0	0	0.396	0.44	0.309	0.61	0.039	0.106	0.031	0.07	-0.192	1.316	-0.146	-0.316	-0.017	-0.047	-0.014	-0.031	2.079	"2"
"逐步"	0	0	2	0	0	0	0	0	0.396	0.44	0.309	0.61	0.039	0.106	0.031	0.07	-0.192	-0.216	1.622	-0.316	-0.017	-0.047	-0.014	-0.031	2.455	"3"
"逐渐"	0	0	2	0	0	0	0	0	0.396	0.44	0.309	0.61	0.039	0.106	0.031	0.07	-0.192	-0.216	1.622	-0.316	-0.017	-0.047	-0.014	-0.031	2.455	"3"
"通报"	1	0	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	0.703	-0.108	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.096	"1"
"通知"	5	0	0	0	0	0	0	0	0.991	1.099	0.773	1.524	0.097	0.265	0.077	0.174	3.514	-0.539	-0.365	-0.789	-0.042	-0.118	-0.034	-0.077	5.478	"1"
"通货"	0	0	1	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	0.811	-0.158	-0.008	-0.024	-0.007	-0.015	1.227	"3"
"通邮"	0	1	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	0.658	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.039	"2"
"速度"	0	0	1	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	0.811	-0.158	-0.008	-0.024	-0.007	-0.015	1.227	"3"
"造成"	0	0	2	0	0	0	0	0	0.396	0.44	0.309	0.61	0.039	0.106	0.031	0.07	-0.192	-0.216	1.622	-0.316	-0.017	-0.047	-0.014	-0.031	2.455	"3"
"道歉"	0	1	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	0.658	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.039	"2"
"遣返"	0	1	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	0.658	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.039	"2"
"遭到"	1	0	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	0.703	-0.108	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.096	"1"
"遵守"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"遵照"	1	0	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	0.703	-0.108	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.096	"1"
"郑筱萸"	0	1	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	0.658	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.039	"2"
"郡"	0	2	0	0	0	0	0	0	0.396	0.44	0.309	0.61	0.039	0.106	0.031	0.07	-0.192	1.316	-0.146	-0.316	-0.017	-0.047	-0.014	-0.031	2.079	"2"
"部署"	3	0	0	0	0	0	0	0	0.595	0.659	0.464	0.914	0.058	0.159	0.046	0.104	2.108	-0.323	-0.219	-0.474	-0.025	-0.071	-0.02	-0.046	3.286	"1"
"部门"	10	1	0	0	0	0	0	0	2.181	2.417	1.701	3.353	0.213	0.583	0.17	0.383	6.073	-0.573	-0.802	-1.737	-0.093	-0.26	-0.074	-0.169	9.781	"1"
"酌增"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"配合"	0	0	1	1	0	0	0	0	0.396	0.44	0.309	0.61	0.039	0.106	0.031	0.07	-0.192	-0.216	0.545	0.287	-0.017	-0.047	-0.014	-0.031	1.349	"3"
"配戴"	1	0	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	0.703	-0.108	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.096	"1"
"配置"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"采取"	5	0	0	0	0	0	0	0	0.991	1.099	0.773	1.524	0.097	0.265	0.077	0.174	3.514	-0.539	-0.365	-0.789	-0.042	-0.118	-0.034	-0.077	5.478	"1"
"释出"	1	0	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	0.703	-0.108	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.096	"1"
"释放"	0	2	1	0	0	0	0	0	0.595	0.659	0.464	0.914	0.058	0.159	0.046	0.104	-0.288	0.908	0.403	-0.474	-0.025	-0.071	-0.02	-0.046	2.235	"2"
"里拉"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"重新"	2	6	0	0	1	0	0	0	1.784	1.978	1.391	2.743	0.174	0.477	0.139	0.313	0.253	2.294	-0.656	-1.421	0.793	-0.213	-0.061	-0.138	5.829	"2"
"重申"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"量"	0	0	1	1	0	0	0	0	0.396	0.44	0.309	0.61	0.039	0.106	0.031	0.07	-0.192	-0.216	0.545	0.287	-0.017	-0.047	-0.014	-0.031	1.349	"3"
"釐清"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"金"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"金门县"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"针"	0	0	1	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	0.811	-0.158	-0.008	-0.024	-0.007	-0.015	1.227	"3"
"钱"	0	0	1	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	0.811	-0.158	-0.008	-0.024	-0.007	-0.015	1.227	"3"
"长期"	0	0	0	1	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	0.516	-0.008	-0.024	-0.007	-0.015	0.847	"4"
"问及"	0	0	0	0	1	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	-0.108	-0.073	-0.158	1.714	-0.024	-0.007	-0.015	2.195	"5"
"防护"	2	0	0	2	0	0	0	0	0.793	0.879	0.618	1.219	0.077	0.212	0.062	0.139	0.749	-0.431	-0.292	0.448	-0.034	-0.095	-0.027	-0.062	2.138	"1"
"防疫"	2	0	0	0	0	0	0	0	0.396	0.44	0.309	0.61	0.039	0.106	0.031	0.07	1.406	-0.216	-0.146	-0.316	-0.017	-0.047	-0.014	-0.031	2.193	"1"
"阵营"	0	1	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	0.658	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.039	"2"
"阿拉伯"	1	0	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	0.703	-0.108	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.096	"1"
"阿拉伯国"	0	1	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	0.658	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.039	"2"
"阿拉法特"	0	1	0	0	0	0	0	0	0.198	0.22	0.155	0.305	0.019	0.053	0.015	0.035	-0.096	0.658	-0.073	-0.158	-0.008	-0.024	-0.007	-0.015	1.039	"2"
