"","clusterID","事故shì_ɡù","不测bú_cè","灾祸zāi_huò","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,37,0,0,9,27,1,1,0.592403214024836,37
"2",2,74,0,0,13,56,5,1,0.608108108108108,74
"3",3,71,8,5,28,40,16,0.727040816326531,0.374149659863946,84
"4",4,61,0,0,13,30,18,1,0.374361730717549,61
"5",5,47,0,0,10,34,3,1,0.572657311000453,47
"6",6,64,0,0,10,42,12,1,0.490234375,64
"7",7,17,0,0,4,5,8,1,0.363321799307958,17
"8",8,25,0,0,1,15,9,1,0.4912,25
"9",9,45,0,0,7,33,5,1,0.574320987654321,45
"10",10,46,0,0,3,43,0,1,0.878071833648393,46
