"","clusterID","今后jīn_hòu","以后sì_hòu","将来jiānɡ_lái","未来wèi_lái","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,75,30,47,227,181,101,97,1.0872,1.0542,379
"2",2,14,0,0,34,24,18,6,0.6036,0.9743,48
"3",3,15,0,0,58,24,27,22,0.5079,1.0951,73
