"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"exp_10"	"exp_11"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"pbin_10"	"pbin_11"	"SumAbsDev"	"LargestDev"
"."	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"’"	0	0	0	0	0	0	0	2	0	0	0	0.112	0.057	0.154	0.073	0.667	0.129	0.109	0.148	0.306	0.029	0.216	-0.05	-0.025	-0.07	-0.032	-0.352	-0.058	-0.049	2.259	-0.144	-0.012	-0.099	3.15	"8"
"1%"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"10－"	0	0	0	0	0	1	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	1.19	-0.024	-0.034	-0.072	-0.006	-0.05	1.641	"6"
"100亿"	1	0	0	0	0	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	1.253	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	1.708	"1"
"1073"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"136"	0	0	0	1	1	0	0	0	0	0	0	0.112	0.057	0.154	0.073	0.667	0.129	0.109	0.148	0.306	0.029	0.216	-0.05	-0.025	-0.07	1.145	0.255	-0.058	-0.049	-0.067	-0.144	-0.012	-0.099	1.974	"4"
"13世纪"	0	0	0	0	0	1	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	1.19	-0.024	-0.034	-0.072	-0.006	-0.05	1.641	"6"
"14.95"	1	0	0	0	0	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	1.253	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	1.708	"1"
"174"	0	0	0	1	0	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	1.438	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	1.902	"4"
"189"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"1973年"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"1万多"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"200万"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"20日"	0	0	0	0	0	0	0	0	1	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	0.815	-0.006	-0.05	1.223	"9"
"21世纪"	0	0	0	0	0	1	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	-0.176	1.19	-0.024	-0.034	-0.072	-0.006	-0.05	1.641	"6"
"260多"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"2月"	0	0	1	0	0	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	1.112	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	1.557	"3"
"32.4"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
"330675"	1	0	0	0	0	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	1.253	-0.013	-0.035	-0.016	-0.176	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	1.708	"1"
"34.7"	0	0	0	0	1	0	0	0	0	0	0	0.056	0.029	0.077	0.036	0.333	0.065	0.055	0.074	0.153	0.014	0.108	-0.025	-0.013	-0.035	-0.016	0.477	-0.029	-0.024	-0.034	-0.072	-0.006	-0.05	0.781	"5"
