"","clusterID","日子rì_zǐ","日期rì_jī","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,96,20,22,32,62,0.7146,0.3977,116
"2",2,22,0,0,0,22,1,1,22
"3",3,127,0,8,31,88,1,0.5437,127
"4",4,0,51,11,9,31,1,0.4471,51
"5",5,0,68,0,0,68,1,1,68
"6",6,1,115,48,26,42,0.9829,0.3526,116
