"","clusterID","铁路tiě_lù","轨道ɡuǐ_dǎo","铁轨tiě_ɡuǐ","铁道tiě_dǎo","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,34,0,0,0,13,11,10,1,0.337370242214533,34
"2",2,61,1,1,1,14,46,4,0.9091796875,0.568359375,64
"3",3,142,27,5,3,46,113,18,0.667975358294232,0.485460755210827,177
"4",4,0,45,0,0,9,31,5,1,0.526913580246914,45
"5",5,54,2,0,3,6,51,2,0.841424877908647,0.758690031600115,59
"6",6,55,19,9,15,40,32,26,0.384423157017909,0.343606830487297,98
"7",7,0,23,0,0,1,21,1,1,0.837429111531191,23
