"","clusterID","教师jiāo_shī","教练jiāo_liàn","老师lǎo_shī","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,2,131,4,18,55,64,0.2077,0.9886,137
"2",2,144,4,63,62,58,91,0.6968,1.0776,211
"3",3,6,11,72,9,13,67,0.6117,0.7265,89
"4",4,34,17,12,19,18,26,1.0022,1.0847,63
