"","clusterID","争端zhēnɡ_duān","争议zhēnɡ_yì","争论zhēnɡ_lún","争执zhēnɡ_zhí","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,34,8,0,22,7,14,0.660356949702542,0.394267171444024,43
"2",2,2,28,1,0,21,2,8,0.8210197710718,0.529656607700312,31
"3",3,10,31,2,0,23,11,9,0.575987020010817,0.395348837209302,43
"4",4,0,9,0,0,5,0,4,1,0.506172839506173,9
"5",5,10,82,28,53,73,34,66,0.348057068395202,0.36222392996759,173
"6",6,25,8,0,3,8,18,10,0.53858024691358,0.376543209876543,36
"7",7,0,31,0,0,31,0,0,1,1,31
"8",8,9,109,9,7,113,9,12,0.673423925150368,0.723657830251726,134
