"","clusterID","争端zhēnɡ_duān","争议zhēnɡ_yì","争论zhēnɡ_lún","争执zhēnɡ_zhí","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,1,34,8,0,22,7,14,0.586,1.0037,43
"2",2,2,28,1,0,21,2,8,0.3795,0.7902,31
"3",3,10,31,2,0,23,11,9,0.7178,1.0108,43
"4",4,10,91,28,53,78,34,70,1.1532,1.044,182
"5",5,25,8,0,3,8,18,10,0.7945,1.0366,36
"6",6,9,140,9,7,144,9,12,0.5908,0.4681,165
