top20dca_collo	cluster	concept	manual_culling
特殊 外交官 尊重 律师 设计 八大 报社 动质处 骨骸 顾问 硅 技师 吭声 立场 模 热忱 色情 伤害 提倡 投诉者	3	career_00583246-n	
专业 教育 培训 人员 人士 技能 知识 训练 高等 精神 道德 技术人员 鉴定 交流 考试 人才 硕士 学位 学院 医护	4	career_00583246-n	
可 香港 银行 让 台湾 服务 免费 吸引 应 希望 对 游行 不要 民众 呼吁 为了 显示 注意 向 NA	1	citizen_09923673-n	
群众 广大 当地 生活 健康 开展 灾区 安全 团体 各 帮助 生命 提高 宣传 意见 活动 干部 积极 基础 联系	2	citizen_09923673-n	
共和国 中华 中国 政府 《 国家 人民 和 国 最 利益 全国 高 共同 全体 法院 关于 总统 党 民	3	citizen_09923673-n	
名 公司 ， 女 银行 该 职员 新航 让 医院 酒店 位 向 服务 其他 提供 大使馆 工作 柜台 或	1	clerk_09928451-n	in
、 中共 中央 委 书记 市委 党委 委员 副 书记处 政治局 北京 委副 县委 常委 党组 支部 全国 省长 主任	2	clerk_09928451-n	out
下 没有 道德 接收 入市 顽强 允许 领先 NA NA NA NA NA NA NA NA NA NA NA NA	1	condition_13920835-n	
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA	2	condition_13920835-n	
市场 激烈 公平 环境 国际 企业 促进 地位 与 公司 行业 竞争 压力 不利 更 加上 力 面临 能力 申办	1	contest_07456188-n	
项 参加 女子 届 选手 体育 举办 本次 米 乒乓球 站 成绩 夺得 男子 主办 项目 大赛 金牌 精彩 枚	2	contest_07456188-n	
场 轮 对手 主场 队 分 赛季 胜 最后 第二 局 球 联赛 首 这 第一 组 两 0 分钟	3	contest_07456188-n	
， 顾客 购买 让 吸引 选择 欢迎 只 供 优待 餐馆 来 品牌 商家 上门 一些 商品 买 能 配套	1	customer_client_09984659-n	
服务 公司 银行 用户 需求 客户 产品 手机 提供 系统 户 交易 网络 业务 使用 达 互联网 户头 买卖 满足	2	customer_client_09984659-n	
物价 指数 信心 大幅 消费者 下跌 对 上涨 下降 预期 欧盟 前景 上扬 下滑 支出 显示 消费 份 价格 使	3	customer_client_09984659-n	
保护 权益 行政院 协会 委员会 强化 投诉 维护 健康 保障 不仅 行为 收费 委员 广大 90％ 保户 触摸 打击 电费	4	customer_client_09984659-n	
元 约 经济 亿 直接 达 至少 估计 人民币 美元 高达 金额 新元 港元 美 农委会 屏东 顷 税收 四亿七千万	1	damage_00403092-n	
赔偿 蒙受 承担 惨重 较 万 停工 损失 风沙 责任 减少 依法 核四 弥补 财物 湖北省 精神 受害人 提列 调查	2	damage_00403092-n	
受到 程度 安全 健康 人类 对 及 被 毒品 人民 致 不要 构成 极 可 利益 权益 人体 意外 组织	3	damage_00403092-n	
造成 重大 财产 巨大 给 生命 经济 对 成 地震 严重 人员 阿比 大火 腐败 股票 韩元 无可 在于 紫外线	4	damage_00403092-n	
里 过 我 好 段 我们 一段 着 得 很 那 好过 现在 没有 日子 ？ 这些 没 到来 家	1	date_15159583-n	
： 时间 地点 ◆ （ 》 6月 30分 8月 星期六 4月 13日 呈献 5月 28日 26 至 . ⊙ 26日	2	date_15159583-n	
截止 报名 22 测验 抽奖 认购 入学 统一 本 为 9月 明年 下 22日 二专 股票 十九日 售股 四技 四月	3	date_15159583-n	
日期 延后 改 间 检验 三月 未 起 解约 具体 选举 组屋 至 ︰ 公布 另行 敲定 实施 通知 完工	4	date_15159583-n	
新 经济 发展 进入 资讯 去年 知识经济 变迁 非典 精神 来临 随着 历史 革命 重要 潮流 困难 适应 同 快速	1	day_15249236-n	
石器 遗址 战国 发现 距 墓葬 旧 春秋 东周 古 座 考古 发掘出 公元前 古人类 漆器 宋 苏州 唐 晚期	2	day_15249236-n	
一段 》 《 冷战 那 广场 长 执政 作品 青少年 特色 相当 不同 NA NA NA NA NA NA NA	3	day_15249236-n	
银行 贷款 业务 商业 国有 行 票据 消费 华侨 表外 独资 发放 合併 利率 央行 业 执照 办理 机构 降低	1	deal_01110274-n	
交易 股票 证券 股市 柜台 佔 股 金额 定价 买卖 时间 结算 客户 全 水果 暂停 指出 天 笔 价格	2	deal_01110274-n	
， 公司 委员会 发展局 公平 有限公司 活动 访问团 公会 航空 一些 洽谈会 同业 做 毒品 行为 行政院 价值 禁运 联邦	3	deal_01110274-n	
协定 自由 双边 谈判 多边 签署 贸易 新一轮 亚欧 展开 自由化 加强 建立 签订 国 日本 组织 巴拿马 伴 环球	4	deal_01110274-n	
对外 出口 增长 发展 美元 市场 经营 逆差 伙伴 与 经济 中国 欧盟 两岸 商品 投资 贸易 电子 加工 进一步	5	deal_01110274-n	
今天 一时 二时 六时 五时 零时 火警 三十分 三时 四时 台北 花莲 三十 警方 报案 二十分 分局 检方 科学园区 抢修	1	early_morning_hour_15169136-n	
1时 2时 左右 4时 3时 5时 当地 6时 8时 淮河 分 15分 水位 死者 地点 12时 波道 开闸 晚 王家坝	2	early_morning_hour_15169136-n	
美军 当天 发生 昨天 时分 袭击 突袭 土耳其 3月 萨达姆 投案 抵达 巴格达 地震 爆炸 嫌犯 3日 20日 爆炸声 九月	3	early_morning_hour_15169136-n	
气象局 明天 天气 预报 发佈 就 后天 时间 今夜 明夜 点 新加坡 每 （ 30分 天 ） 风暴 第二 皇马	4	early_morning_hour_15169136-n	
比赛 们 队员 队 场 球 中国队 年轻 都 参加 赛 表现 老 对方 分钟 国家队 前 上场 战术 几	1	fellow_member_10307234-n	
名 伊拉克 组织 团 回教 哈马斯 5 登山队 组 祈祷 阿拉伯 安理会 董事会 敢死队 回祈团 拘捕 派别 联合国 韩 萨达姆	2	fellow_member_10307234-n	
会员 家族 元 家庭 公积金 其他 电话 提取 投资 学会 各 工会 集团 团体 15 多数 非 购买 黑社会 会馆	3	fellow_member_10307234-n	
内阁 协会 小组 代表团 大会 委员会 会议 全体 理事会 包括 欧盟 人选 加入 成为 世贸组织 WTO 谈判 代表 APEC 参议院	4	fellow_member_10307234-n	
， 她 丈夫 着 妻子 后 孩子 与 当 少妇 你 好 婚姻 女儿 太太 带 家庭 母亲 指 因为	1	husband_10193967-n	
说 先生 陈 李 王 刘 孙中山 ： 黄 ） 读者 报 来到 许 张 编辑 贵 位 叶 钱	2	husband_10193967-n	
合法 维护 保护 保障 消费者 劳工 民众 依法 争取 影响 工会 受损 法律 妇女 自己 应 及 人民 者 员工	1	interest_stake_13286801-n	
有限公司 中国 上海 股份 华联 集团 石油 天然气 医药 家 总经理 超市 电缆 广州 航空 商城 商厦 豫园 司 化工	2	interest_stake_13286801-n	
