"","clusterID","准则zhǔn_zé","原则yuán_zé","标准biāo_zhǔn","规范ɡuī_fàn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,8,146,2,7,67,61,35,0.4358,1.0636,163
"2",2,1,14,82,6,30,36,37,0.6634,1.0945,103
"3",3,10,32,113,79,70,131,33,1.1249,0.962,234
