"","clusterID","新闻xīn_wén","报导bào_dǎo","消息xiāo_xī","情报qíng_bào","讯息xùn_xī","ML","TW","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,28,0,0,0,0,28,0,0,0,0,28
"2",2,37,3,12,0,0,45,7,0,0.7451,0.3951,52
"3",3,12,10,3,0,0,6,17,2,0.9733,0.8068,25
"4",4,52,2,4,0,0,27,14,17,0.3984,1.0587,58
"5",5,5,47,9,0,0,0,58,3,0.6883,0.1961,61
"6",6,6,20,57,31,6,32,43,45,1.3015,1.088,120
"7",7,85,11,15,5,4,26,62,32,0.969,1.025,120
"8",8,0,0,33,2,1,6,9,21,0.3399,0.9596,36
