"","clusterID","政党zhēnɡ_dǎnɡ","党派dǎnɡ_bài","TW","SG","ML","variant_entropy","lect_entropy","TotalFreq"
"1",1,42,0,38,4,0,0,0.3145,42
"2",2,32,2,33,1,0,0.2237,0.1327,34
"3",3,332,92,285,70,69,0.5231,0.8599,424
