"","clusterID","原料yuán_liáo","成份chénɡ_bīn","成分chénɡ_bàn","材料cái_liáo","用料yòng_liáo","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,5,12,1,0,7,6,6,0.473684210526316,0.335180055401662,19
"2",2,4,19,45,1,0,20,27,22,0.504725897920605,0.338794370930477,69
"3",3,54,0,1,26,1,31,41,10,0.534503271861987,0.407792980368828,82
"4",4,1,0,1,39,1,6,27,9,0.863945578231292,0.479591836734694,42
"5",5,0,13,0,0,0,0,13,0,1,1,13
"6",6,0,0,0,32,0,0,29,3,1,0.830078125,32
"7",7,10,7,22,43,8,17,37,36,0.314320987654321,0.364691358024691,90
"8",8,0,0,0,15,0,2,8,5,1,0.413333333333333,15
"9",9,24,5,15,91,3,19,69,50,0.478680949380382,0.400231043898341,138
