"","clusterID","专题zhuān_tí","主题zhǔ_tí","题目tí_mù","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,28,10,1,33,2,4,0.6808,0.5272,39
"2",2,1,48,1,47,3,0,0.1957,0.227,50
"3",3,1,71,0,2,56,14,0.0732,0.6134,72
"4",4,0,10,0,8,0,2,0,0.5004,10
"5",5,0,19,0,6,5,8,0,1.0795,19
"6",6,50,129,33,71,69,72,0.9325,1.0985,212
"7",7,11,1,2,6,2,6,0.656,1.0042,14
"8",8,37,46,1,36,39,9,0.7437,0.9587,84
