"","clusterID","大厦dà_shà","建物jiàn_wù","建筑jiàn_zhú","建筑物jiàn_zhú_wù","房子fánɡ_zǐ","房屋fánɡ_wū","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,10,5,61,5,5,59,35,41,69,1.2629,1.0537,145
"2",2,1,0,57,2,1,2,9,34,20,0.4411,0.9751,63
"3",3,25,3,43,33,12,42,37,67,54,1.5962,1.0707,158
"4",4,29,0,0,0,0,0,9,2,18,0,0.8436,29
"5",5,39,0,23,10,22,11,21,26,58,1.4882,0.9954,105
