"","clusterID","工业ɡōnɡ_yè","产业chǎn_yè","制造业zhì_cāo_yè","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,8,0,0,8,0,0,1,1,8
"2",2,51,6,15,8,47,17,0.552083333333333,0.494212962962963,72
"3",3,13,56,13,50,20,12,0.516656751933373,0.452706722189173,82
"4",4,13,5,0,1,14,3,0.598765432098765,0.635802469135803,18
"5",5,12,2,0,5,5,4,0.755102040816326,0.336734693877551,14
"6",6,81,19,5,27,55,23,0.630113378684807,0.388480725623583,105
"7",7,0,22,0,18,4,0,1,0.702479338842975,22
"8",8,2,22,0,6,18,0,0.847222222222222,0.625,24
"9",9,23,131,1,54,88,13,0.736357960457857,0.450738813735692,155
