"","clusterID","专题zhuān_tí","主题zhǔ_tí","学科xué_kē","领域lǐnɡ_yù","题目tí_mù","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,25,19,0,0,0,28,12,4,0.509297520661157,0.487603305785124,44
"2",2,13,46,7,9,14,20,23,46,0.329630097209948,0.384421158944578,89
"3",3,0,48,0,0,0,11,21,16,1,0.355034722222222,48
"4",4,0,0,0,72,0,6,59,7,1,0.687885802469136,72
"5",5,0,2,0,78,0,5,55,20,0.95125,0.5390625,80
"6",6,0,0,2,54,0,15,32,9,0.931122448979592,0.424107142857143,56
"7",7,4,2,32,72,1,25,66,20,0.505559613667722,0.436734031328626,111
