"","clusterID","官司ɡuān_cí","案件àn_jiàn","讼案sòng_àn","诉讼案sù_sòng_àn","控告kōnɡ_ɡào","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,11,44,3,8,0,21,18,27,0.9652,1.0844,66
"2",2,3,44,0,1,0,9,33,6,0.3337,0.8314,48
"3",3,3,61,0,1,0,2,37,26,0.2658,0.7944,65
"4",4,36,49,0,3,2,31,27,32,0.8955,1.096,90
"5",5,0,19,0,1,0,10,9,1,0.1985,0.8557,20
"6",6,0,38,0,0,0,5,32,1,0,0.5073,38
"7",7,1,100,0,1,0,29,38,35,0.1101,1.0925,102
"8",8,0,19,0,0,0,4,15,0,0,0.5147,19
"9",9,1,51,0,0,0,25,18,9,0.095,1.0229,52
