"","clusterID","领导lǐnɡ_dǎo","头目tóu_mù","领导人lǐnɡ_dǎo_rén","领袖lǐnɡ_xiù","首领shǒu_lǐnɡ","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,22,0,0,0,0,4,16,2,0,0.7595,22
"2",2,92,1,1,7,0,8,84,9,0.3614,0.5696,101
"3",3,3,0,14,6,0,3,17,3,0.9184,0.7548,23
"4",4,16,1,18,13,3,6,26,19,1.3234,0.9631,51
"5",5,3,0,56,27,0,26,51,9,0.7601,0.9077,86
"6",6,22,0,13,0,0,6,22,7,0.6597,0.9161,35
"7",7,26,0,25,5,0,11,27,18,0.932,1.0362,56
"8",8,10,0,2,17,0,15,4,10,0.8646,0.9814,29
"9",9,45,0,15,36,1,27,12,58,1.06,0.922,97
