"","clusterID","设施shè_shī","设备shè_bèi","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,73,0,1,57,15,0,0.5771,73
"2",2,0,13,10,0,3,0,0.5402,13
"3",3,10,85,15,62,18,0.3365,0.8851,95
"4",4,34,40,15,45,14,0.6899,0.941,74
"5",5,8,3,2,6,3,0.586,0.9949,11
"6",6,91,17,45,37,26,0.4353,1.0746,108
"7",7,11,0,2,7,2,0,0.9075,11
"8",8,31,44,21,37,17,0.678,1.0414,75
"9",9,20,20,12,9,19,0.6931,1.0504,40
