"","clusterID","协议xié_yì","合同ɡě_tóng","合约ɡě_yāo","契约jié_yāo","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,16,12,3,0,9,19,3,0.4256,0.4693,31
"2",2,57,79,58,18,50,86,76,0.2932,0.3487,212
"3",3,98,0,0,0,31,39,28,1,0.3401,98
"4",4,155,2,1,1,29,97,33,0.9506,0.4485,159
