"","clusterID","做法zuò_fǎ","办法bàn_fǎ","手段shǒu_duàn","措施cì_shī","方式fānɡ_shì","方法fānɡ_fǎ","作法zuō_fǎ","ML","SG","TW","variant_I","lect_I","TotalFreq"
"1",1,1,1,1,61,4,0,0,53,15,0,0.808823529411765,0.656141868512111,68
"2",2,1,1,1,35,1,11,0,25,18,7,0.54,0.3992,50
"3",3,0,0,1,11,2,0,0,0,0,14,0.642857142857143,1,14
"4",4,0,23,2,69,5,4,1,53,24,27,0.493343195266272,0.380362426035503,104
"5",5,0,0,2,0,28,0,0,4,12,14,0.875555555555556,0.395555555555556,30
"6",6,26,25,3,18,32,11,4,38,30,51,0.197373066873808,0.349198502930584,119
"7",7,14,0,9,7,64,16,5,49,36,30,0.355614366729679,0.347599243856333,115
