"","clusterID","兄弟kuànɡ_dì","哥哥ɡē_ɡē","弟弟dì_dì","亲兄弟qīn_kuànɡ_dì","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,5,59,6,0,2,4,64,0.7229,0.84,70
"2",2,0,9,18,0,2,3,22,0.5556,0.6818,27
"3",3,16,124,67,1,17,24,167,0.4651,0.6646,208
"4",4,20,0,0,0,1,6,13,1,0.515,20
"5",5,131,11,31,2,49,49,77,0.5958,0.3504,175
