"","clusterID","共和国ɡōnɡ_hé_ɡuó","联邦lián_bānɡ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,137,1,21,108,9,0.985612266330603,0.639886578449906,138
"2",2,19,0,0,15,4,1,0.667590027700831,19
"3",3,0,50,26,10,14,1,0.3888,50
"4",4,6,16,2,17,3,0.603305785123967,0.62396694214876,22
"5",5,67,142,77,95,37,0.564387262196378,0.373686499851194,209
"6",6,0,23,6,8,9,1,0.342155009451796,23
"7",7,0,39,19,10,10,1,0.368836291913215,39
