"","clusterID","战术zhàn_shú","战略zhàn_è","策略cè_è","打法dá_fǎ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,4,187,13,0,16,153,35,0.8447,0.5981,204
"2",2,33,64,96,14,69,56,82,0.3407,0.3412,207
"3",3,1,72,16,0,38,30,21,0.6869,0.3516,89
