"","clusterID","做法zuò_fǎ","办法bàn_fǎ","手段shǒu_duàn","措施cì_shī","方式fānɡ_shì","作法zuō_fǎ","方法fānɡ_fǎ","ML","SG","TW","variant_I","lect_I","TotalFreq"
"1",1,1,1,1,61,4,0,0,53,15,0,0.8088,0.6561,68
"2",2,1,24,4,115,8,1,15,78,42,48,0.4999,0.3597,168
"3",3,0,0,2,0,28,0,0,4,12,14,0.8756,0.3956,30
"4",4,40,25,12,25,96,9,27,87,66,81,0.2378,0.3376,234
