"","clusterID","寿命shòu_mìnɡ","年纪nián_jǐ","年龄nián_línɡ","年岁nián_suì","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,13,19,176,0,67,56,85,0.7282,0.3432,208
"2",2,39,80,168,5,63,87,142,0.4242,0.3718,292
