"","clusterID","晚上wǎn_shǎnɡ","晚间wǎn_jiān","夜晚yè_wǎn","夜间yè_jiān","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,22,7,0,0,15,1,13,0.5527,0.8168,29
"2",2,67,103,3,1,149,9,16,0.7775,0.5055,174
"3",3,86,0,0,0,0,4,82,0,0.1881,86
"4",4,29,9,18,34,20,30,40,1.2848,1.0609,90
"5",5,110,3,1,7,18,33,70,0.3828,0.9544,121
