"","clusterID","太太tā_tā","妻子qī_zǐ","老婆lǎo_pó","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,3,28,0,5,7,19,0.825182101977107,0.452653485952133,31
"2",2,4,26,2,6,5,21,0.6796875,0.490234375,32
"3",3,70,58,45,21,10,142,0.343780279995991,0.691803935981824,173
"4",4,16,53,2,24,8,39,0.608807776234874,0.428684784764928,71
"5",5,3,66,3,10,4,58,0.84375,0.671296296296296,72
"6",6,23,70,0,21,16,56,0.627702624580876,0.443172621112267,93
"7",7,5,21,2,3,3,22,0.599489795918367,0.64030612244898,28
