"","clusterID","年代nián_dài","时代shí_dài","时期shí_jī","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,2,85,65,36,76,40,0.4958,0.3753,152
"2",2,5,20,23,15,24,9,0.4141,0.3828,48
"3",3,5,45,43,36,21,36,0.4508,0.3507,93
"4",4,21,102,84,39,81,87,0.4178,0.3653,207
