"","clusterID","行为hánɡ_wéi","表现biǎo_xiàn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,180,1,57,70,54,0.989,0.3377,181
"2",2,0,38,16,0,22,1,0.5125,38
"3",3,59,40,24,26,49,0.5184,0.3727,99
"4",4,7,175,48,26,108,0.926,0.4421,182
