"","clusterID","食品shí_pǐn","食物shí_wù","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,192,15,47,108,52,0.865574459147238,0.386870171999347,207
"2",2,36,0,9,19,8,1,0.390432098765432,36
"3",3,58,6,27,19,18,0.830078125,0.34521484375,64
"4",4,0,18,0,14,4,1,0.654320987654321,18
"5",5,48,127,42,26,107,0.601893877551021,0.453518367346939,175
