"","clusterID","读者dòu_zhě","听众tīng_yín","观众ɡuān_yín","ML","SG","TW","variant_I","lect_I","TotalFreq"
"1",1,23,0,0,2,21,0,1,0.841209829867675,23
"2",2,122,4,15,12,113,16,0.760776620894321,0.662391227805442,141
"3",3,11,1,44,19,29,8,0.65625,0.403698979591837,56
"4",4,0,0,75,32,28,15,1,0.361422222222222,75
"5",5,9,6,74,21,44,24,0.706097714934983,0.372806463830324,89
"6",6,20,9,87,23,78,15,0.598246135552913,0.508174791914388,116
