"","clusterID","交易jiāo_yì","商业shānɡ_yè","贸易mào_yì","买卖mǎi_mài","生意shēnɡ_yī","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,7,19,150,0,0,45,79,52,0.7396,0.3541,176
"2",2,57,61,45,12,50,57,73,95,0.2299,0.3477,225
"3",3,2,24,0,0,0,10,11,5,0.858,0.3639,26
"4",4,55,1,1,15,1,32,14,27,0.6104,0.3657,73
