"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"！"	0	0	0	1	0	0	0	3	1.198	0.136	0.189	1.186	0.266	0.539	0.271	0.214	-0.618	-0.06	-0.084	-0.182	-0.12	-0.252	-0.122	3.231	4.669	"8"
"0204"	0	0	0	0	0	1	0	0	0.299	0.034	0.047	0.297	0.067	0.135	0.068	0.053	-0.155	-0.015	-0.021	-0.153	-0.03	0.87	-0.03	-0.024	1.298	"6"
"100万"	0	0	0	0	0	0	0	2	0.599	0.068	0.094	0.593	0.133	0.27	0.136	0.107	-0.309	-0.03	-0.042	-0.306	-0.06	-0.126	-0.061	2.543	3.477	"8"
"100亿"	0	0	0	0	0	0	0	1	0.299	0.034	0.047	0.297	0.067	0.135	0.068	0.053	-0.155	-0.015	-0.021	-0.153	-0.03	-0.063	-0.03	1.272	1.739	"8"
"190"	0	0	0	1	0	0	0	0	0.299	0.034	0.047	0.297	0.067	0.135	0.068	0.053	-0.155	-0.015	-0.021	0.528	-0.03	-0.063	-0.03	-0.024	0.866	"4"
"5566"	0	0	0	0	0	0	0	2	0.599	0.068	0.094	0.593	0.133	0.27	0.136	0.107	-0.309	-0.03	-0.042	-0.306	-0.06	-0.126	-0.061	2.543	3.477	"8"
"616"	1	0	0	0	0	0	0	0	0.299	0.034	0.047	0.297	0.067	0.135	0.068	0.053	0.524	-0.015	-0.021	-0.153	-0.03	-0.063	-0.03	-0.024	0.86	"1"
"6亿"	0	0	0	0	0	0	1	0	0.299	0.034	0.047	0.297	0.067	0.135	0.068	0.053	-0.155	-0.015	-0.021	-0.153	-0.03	-0.063	1.169	-0.024	1.63	"7"
"747"	0	0	0	0	1	0	0	0	0.299	0.034	0.047	0.297	0.067	0.135	0.068	0.053	-0.155	-0.015	-0.021	-0.153	1.177	-0.063	-0.03	-0.024	1.638	"5"
"8％"	0	0	0	1	0	0	0	0	0.299	0.034	0.047	0.297	0.067	0.135	0.068	0.053	-0.155	-0.015	-0.021	0.528	-0.03	-0.063	-0.03	-0.024	0.866	"4"
"891004"	0	0	0	0	0	1	0	0	0.299	0.034	0.047	0.297	0.067	0.135	0.068	0.053	-0.155	-0.015	-0.021	-0.153	-0.03	0.87	-0.03	-0.024	1.298	"6"
"891117"	0	0	0	1	0	0	0	0	0.299	0.034	0.047	0.297	0.067	0.135	0.068	0.053	-0.155	-0.015	-0.021	0.528	-0.03	-0.063	-0.03	-0.024	0.866	"4"
"891205"	0	0	0	0	0	1	0	0	0.299	0.034	0.047	0.297	0.067	0.135	0.068	0.053	-0.155	-0.015	-0.021	-0.153	-0.03	0.87	-0.03	-0.024	1.298	"6"
"891222"	0	0	0	0	0	0	0	1	0.299	0.034	0.047	0.297	0.067	0.135	0.068	0.053	-0.155	-0.015	-0.021	-0.153	-0.03	-0.063	-0.03	1.272	1.739	"8"
"900109"	0	0	0	1	0	0	0	0	0.299	0.034	0.047	0.297	0.067	0.135	0.068	0.053	-0.155	-0.015	-0.021	0.528	-0.03	-0.063	-0.03	-0.024	0.866	"4"
"Almas"	0	0	0	0	1	0	0	0	0.299	0.034	0.047	0.297	0.067	0.135	0.068	0.053	-0.155	-0.015	-0.021	-0.153	1.177	-0.063	-0.03	-0.024	1.638	"5"
"CF"	1	0	0	0	0	0	0	0	0.299	0.034	0.047	0.297	0.067	0.135	0.068	0.053	0.524	-0.015	-0.021	-0.153	-0.03	-0.063	-0.03	-0.024	0.86	"1"
"Charlie"	0	0	0	1	0	0	0	1	0.599	0.068	0.094	0.593	0.133	0.27	0.136	0.107	-0.309	-0.03	-0.042	0.297	-0.06	-0.126	-0.061	0.982	1.907	"8"
