"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"军方"	0	0	0	0	1	0	0	1	0.058	0.366	0.037	0.258	0.468	0.285	0.249	0.278	-0.026	-0.176	-0.016	-0.12	0.384	-0.134	-0.116	0.587	1.559	"8"
"军警"	0	0	0	1	0	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	0.889	-0.116	-0.067	-0.058	-0.065	1.304	"4"
"军队"	0	1	0	0	1	1	0	0	0.088	0.549	0.056	0.387	0.702	0.428	0.374	0.417	-0.039	0.342	-0.024	-0.18	0.259	0.432	-0.173	-0.195	1.644	"6"
"冯"	0	0	0	0	0	0	0	1	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	-0.116	-0.067	-0.058	0.857	1.267	"8"
"决不会"	0	0	0	0	0	1	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	-0.116	0.845	-0.058	-0.065	1.253	"6"
"决定"	0	0	0	0	0	0	1	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	-0.116	-0.067	0.905	-0.065	1.322	"7"
"决心"	0	1	0	0	1	0	0	0	0.058	0.366	0.037	0.258	0.468	0.285	0.249	0.278	-0.026	0.478	-0.016	-0.12	0.384	-0.134	-0.116	-0.13	1.404	"2"
"决议"	0	0	0	0	0	0	1	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	-0.116	-0.067	0.905	-0.065	1.322	"7"
"几万"	0	0	0	0	1	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	0.631	-0.067	-0.058	-0.065	0.99	"5"
"凸显出"	0	0	0	0	1	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	0.631	-0.067	-0.058	-0.065	0.99	"5"
"出席"	0	0	0	0	1	0	8	0	0.263	1.647	0.167	1.162	2.105	1.285	1.121	1.251	-0.116	-0.79	-0.073	-0.54	-0.468	-0.602	6.335	-0.585	9.509	"7"
"出面"	0	1	0	0	0	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	0.738	-0.008	-0.06	-0.116	-0.067	-0.058	-0.065	1.125	"2"
"分管"	0	1	0	0	0	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	0.738	-0.008	-0.06	-0.116	-0.067	-0.058	-0.065	1.125	"2"
"切实"	0	4	0	0	0	0	0	0	0.117	0.732	0.074	0.516	0.935	0.571	0.498	0.556	-0.052	2.95	-0.033	-0.24	-0.463	-0.268	-0.231	-0.26	4.497	"2"
"创始人"	0	0	0	0	1	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	0.631	-0.067	-0.058	-0.065	0.99	"5"
"创建"	0	0	0	0	2	0	0	0	0.058	0.366	0.037	0.258	0.468	0.285	0.249	0.278	-0.026	-0.176	-0.016	-0.12	1.262	-0.134	-0.116	-0.13	1.98	"5"
"利库德"	0	0	0	1	0	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	0.889	-0.116	-0.067	-0.058	-0.065	1.304	"4"
"利比"	0	0	0	0	0	2	0	0	0.058	0.366	0.037	0.258	0.468	0.285	0.249	0.278	-0.026	-0.176	-0.016	-0.12	-0.231	1.691	-0.116	-0.13	2.506	"6"
