"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"?"	0	0	1	2	0.974	0.176	0.405	1.445	-0.512	-0.079	0.453	0.326	1.37	"1"
"100年"	0	0	0	1	0.325	0.059	0.135	0.482	-0.171	-0.026	-0.063	0.317	0.577	"4"
"1960年"	0	0	0	1	0.325	0.059	0.135	0.482	-0.171	-0.026	-0.063	0.317	0.577	"4"
"2点"	0	0	0	1	0.325	0.059	0.135	0.482	-0.171	-0.026	-0.063	0.317	0.577	"4"
"3%"	0	0	1	0	0.325	0.059	0.135	0.482	-0.171	-0.026	0.87	-0.285	1.352	"3"
"75％"	0	0	0	1	0.325	0.059	0.135	0.482	-0.171	-0.026	-0.063	0.317	0.577	"4"
"7点"	0	0	0	1	0.325	0.059	0.135	0.482	-0.171	-0.026	-0.063	0.317	0.577	"4"
"891019"	0	0	0	1	0.325	0.059	0.135	0.482	-0.171	-0.026	-0.063	0.317	0.577	"4"
"891030"	0	0	0	1	0.325	0.059	0.135	0.482	-0.171	-0.026	-0.063	0.317	0.577	"4"
"891110"	0	0	0	1	0.325	0.059	0.135	0.482	-0.171	-0.026	-0.063	0.317	0.577	"4"
"891121"	0	0	0	1	0.325	0.059	0.135	0.482	-0.171	-0.026	-0.063	0.317	0.577	"4"
"891128"	0	0	0	1	0.325	0.059	0.135	0.482	-0.171	-0.026	-0.063	0.317	0.577	"4"
"891201"	0	0	1	0	0.325	0.059	0.135	0.482	-0.171	-0.026	0.87	-0.285	1.352	"3"
"891209"	0	0	0	1	0.325	0.059	0.135	0.482	-0.171	-0.026	-0.063	0.317	0.577	"4"
"891224"	0	0	0	1	0.325	0.059	0.135	0.482	-0.171	-0.026	-0.063	0.317	0.577	"4"
"891228"	0	0	1	0	0.325	0.059	0.135	0.482	-0.171	-0.026	0.87	-0.285	1.352	"3"
"900131"	0	0	0	1	0.325	0.059	0.135	0.482	-0.171	-0.026	-0.063	0.317	0.577	"4"
"Genic"	0	0	1	0	0.325	0.059	0.135	0.482	-0.171	-0.026	0.87	-0.285	1.352	"3"
"IDS"	0	0	0	1	0.325	0.059	0.135	0.482	-0.171	-0.026	-0.063	0.317	0.577	"4"
