"","clusterID","股票ɡǔ_piāo","证券zhènɡ_quàn","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,104,41,56,38,51,0.5944,0.3415,145
"2",2,136,84,78,55,87,0.5279,0.3446,220
"3",3,32,103,83,34,18,0.6383,0.4592,135
