"","clusterID","报告bào_ɡào","报道bào_dǎo","ML","SG","TW","variant_entropy","lect_entropy","TotalFreq"
"1",1,2,69,27,44,0,0.1283,0.6642,71
"2",2,0,85,53,32,0,0,0.6623,85
"3",3,268,76,131,103,110,0.5281,1.0933,344
