"","clusterID","仪式yí_shì","典礼diǎn_lǐ","庆典qìng_diǎn","TW","ML","SG","variant_entropy","lect_entropy","TotalFreq"
"1",1,6,32,0,23,3,12,0.4362,0.8683,38
"2",2,36,19,1,24,4,28,0.7227,0.8982,56
"3",3,19,0,0,0,18,1,0,0.2062,19
"4",4,68,32,8,49,39,20,0.8445,1.0387,108
"5",5,9,14,13,14,4,18,1.0817,0.958,36
"6",6,166,41,36,81,95,67,0.8435,1.0886,243
