"","clusterID","年代nián_dài","时代shí_dài","时期shí_jī","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,65,5,26,24,21,0.843285062487602,0.335846062289228,71
"2",2,1,20,60,10,52,19,0.609815576893766,0.482395976223137,81
"3",3,5,20,23,15,24,9,0.4140625,0.3828125,48
"4",4,5,45,43,36,21,36,0.45080356110533,0.350676378772112,93
"5",5,0,19,0,6,3,10,1,0.401662049861496,19
"6",6,21,83,84,33,78,77,0.407028066998642,0.370699411498416,188
