"","clusterID","个性ɡàn_xìng","品质pǐn_zhì","特征tè_zhēnɡ","特性tè_xìng","特点tè_diǎn","特色tè_sè","特质tè_zhì","风格fēnɡ_ɡē","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,19,7,5,1,13,40,3,24,30,15,67,0.222417091836735,0.447544642857143,112
"2",2,4,0,2,1,8,34,0,28,17,31,29,0.341541575307809,0.352673300725249,77
"3",3,0,0,1,1,0,8,0,1,4,6,1,0.553719008264463,0.43801652892562,11
"4",4,0,0,4,1,6,14,0,1,7,15,4,0.369822485207101,0.428994082840237,26
"5",5,5,25,30,19,63,23,4,9,48,83,47,0.205340234818836,0.359866178512814,178
"6",6,0,0,0,0,0,14,0,0,0,14,0,1,1,14
"7",7,0,60,0,1,4,17,0,0,49,25,8,0.580904223676383,0.459547888161808,82
