"","clusterID","手段shǒu_duàn","措施cì_shī","方式fānɡ_shì","方法fānɡ_fǎ","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,1,91,2,1,1,69,25,0.9182,0.5969,95
"2",2,2,0,47,0,28,12,9,0.9217,0.4202,49
"3",3,40,136,120,60,126,147,83,0.3006,0.3501,356
