"","clusterID","书记shū_jì","店员diàn_yuán","职员zhí_yuán","营业员yíng_yè_yuán","TW","ML","SG","variant_I","lect_I","TotalFreq"
"1",1,2,3,35,0,2,1,37,0.77375,0.85875,40
"2",2,0,0,28,0,2,6,20,1,0.561224489795918,28
"3",3,14,22,114,13,26,30,107,0.521096014151831,0.490232978282961,163
"4",4,22,0,0,0,0,20,2,1,0.834710743801653,22
"5",5,23,0,0,0,1,22,0,1,0.916824196597354,23
"6",6,41,0,0,0,5,30,6,1,0.571683521713266,41
"7",7,59,0,0,0,3,52,4,1,0.783970123527722,59
"8",8,124,0,0,0,19,93,12,1,0.595343392299688,124
